changed_parameter,param_changed_by,old_param_value,new_param_value,param_bounds,old_best_obj_fct_value,new_obj_fct_value_after_change,change_of_obj_fct_new/old
snw_dth,0.8,0.0,0.0,"(0.0, 0.0)",0.086657035831965,0.08665703583196505,1.0000000000000004
snw_ast,0.8,-0.4502793872,-0.4502793872,"(-1.0, 1.0)",0.086657035831965,0.09536925143584829,1.1005367368066568
snw_amt,0.8,1.0892977760000002,1.0892977760000002,"(-0.0, 2.0)",0.086657035831965,0.09141709363987394,1.054929848017639
snw_amf,0.8,0.221297248,0.221297248,"(0.0, 2.0)",0.086657035831965,0.09170891025152794,1.058297336979757
snw_pmf,0.8,0.1486782984,0.1486782984,"(0.0, 2.0)",0.086657035831965,0.09370563265039722,1.0813390020874936
sl0_mse,0.8,46.28630376,46.28630376,"(0.0, 100.0)",0.086657035831965,0.10018207991906924,1.1560755449024405
sl1_mse,0.8,83.0825976,83.0825976,"(0.0, 200.0)",0.086657035831965,0.11005979880802153,1.2700618911248749
sl0_fcy,0.8,105.08638719999999,105.08638719999999,"(0.0, 200.0)",0.086657035831965,0.0956860527769885,1.1041925431482735
sl0_bt0,0.8,1.6343272800000002,1.6343272800000002,"(0.0, 3.0)",0.086657035831965,0.09378143526503258,1.0822137448467815
sl1_pwp,0.8,204.5027504,204.5027504,"(0.0, 400.0)",0.086657035831965,0.09377446639719711,1.0821333258967383
sl1_fcy,0.8,70.0778548,70.0778548,"(0.0, 400.0)",0.086657035831965,0.09695776078823581,1.1188677279043417
sl1_bt0,0.8,0.5478294904000001,0.5478294904000001,"(0.0, 4.0)",0.086657035831965,0.09695776078823581,1.1188677279043417
urr_dth,0.8,1.4720776880000002,1.4720776880000002,"(0.0, 20.0)",0.086657035831965,0.0969378474901661,1.1186379335445584
lrr_dth,0.8,0.3992245856,0.3992245856,"(0.0, 5.0)",0.086657035831965,0.09694268418713814,1.1186937477889025
urr_rsr,0.8,0.7244376216,0.7244376216,"(0.0, 1.0)",0.086657035831965,0.09703474681559154,1.119756126943342
urr_tdh,0.8,19.826269600000003,19.826269600000003,"(0.0, 100.0)",0.086657035831965,0.09703474681559154,1.119756126943342
urr_tdr,0.8,0.694095808,0.694095808,"(0.0, 1.0)",0.086657035831965,0.09703474681559154,1.119756126943342
urr_cst,0.8,0.00021132248080000003,0.00021132248080000003,"(0.0, 1.0)",0.086657035831965,0.09704169264035012,1.1198362799821795
urr_dro,0.8,0.3339677904,0.3339677904,"(0.0, 1.0)",0.086657035831965,0.09702798512652189,1.1196780987831962
urr_ulc,0.8,0.14004882240000002,0.14004882240000002,"(0.0, 1.0)",0.086657035831965,0.09901349652455016,1.1425903918124471
lrr_tdh,0.8,3701.163088,3701.163088,"(0.0, 10000.0)",0.086657035831965,0.09903535167798072,1.142842594685771
lrr_cst,0.8,0.00803197408,0.00803197408,"(0.0, 1.0)",0.086657035831965,0.10663665648814302,1.2305597054452695
lrr_dro,0.8,0.7999308872,0.7999308872,"(0.0, 1.0)",0.086657035831965,0.18871594885303267,2.1777337182288132
