change_value_inputs;new_ofv_old_params;new_opt_params;new_opt_ofv
10.982.345.927.989.300;0.10134494512143111;"[ 0.00000000e+00 -5.75379155e-01  1.27841928e+00  1.98147431e-01
  3.60462299e-01  8.66582360e+01  1.92212323e+02  7.22096676e+01
  1.56089042e+00  2.99519906e+02  3.16412709e+02  3.60317920e+00
  1.90793923e+00  1.43822542e+00  7.78875930e-01  8.49039648e+01
  8.07775929e-01  1.93850172e-04  2.35614454e-01  1.72797439e-01
  9.62389004e+03  9.79657050e-03  9.99469854e-01]";0.07901580816964004
0.8930696674751897;0.12453346549072308;"[ 0.00000000e+00 -4.76603228e-01  1.41992471e+00  3.67256890e-01
  1.49824828e-01  5.75767134e+01  9.47501432e+01  1.02567215e+02
  2.90429646e+00  3.34972581e+02  7.95206411e+01  6.82421101e-01
  2.28217392e+00  5.70424170e-01  7.93231825e-01  3.41993843e+01
  4.33999554e-01  8.57716505e-05  3.88285765e-01  1.78294110e-01
  3.17213263e+03  9.49776419e-03  9.98857476e-01]";0.09831404100016727
0.8634257267821015;0.14453082752015578;"[ 0.00000000e+00 -5.10591763e-01  1.98172991e+00  1.90400098e-01
  2.23446591e-02  4.99758915e+01  9.69671464e+01  9.02757769e+01
  2.94686155e+00  3.64729945e+02  4.44401879e+01  1.04911098e+00
  1.73148055e+00  3.81965161e-01  8.75774796e-01  3.19352294e+01
  8.50897074e-01  1.52525966e-03  3.15412617e-01  2.36034651e-01
  5.56138994e+03  1.40242498e-02  9.81513061e-01]";0.09021391833491954
10.256.573.845.414.400;0.08678827987142324;"[ 0.00000000e+00 -5.46037799e-01  1.43900697e+00  2.59299513e-01
  2.88916193e-01  7.98499753e+01  1.49507302e+02  1.55089813e+02
  2.38089285e+00  2.80232477e+02  4.67491453e+01  2.41775532e+00
  1.20735281e+00  1.27672074e+00  8.58184992e-01  1.47318902e+01
  2.76688215e-01  9.27043735e-05  4.60077611e-01  1.81323843e-01
  3.20615793e+03  9.34637342e-03  9.98539569e-01]";0.08490411366649475
11.097.344.848.927.800;0.10506883037826564;"[ 0.00000000e+00 -5.85044427e-01  1.26405476e+00  1.81065611e-01
  3.83419511e-01  7.67685484e+01  1.72151236e+02  1.16290277e+02
  1.90809054e+00  1.95623813e+02  2.35225368e+02  3.70581455e+00
  7.32023726e-01  1.28570561e+00  9.32173347e-01  8.58348923e+01
  7.37639194e-01  6.46671683e-04  1.59127631e-01  1.78214456e-01
  3.09695921e+03  9.79202557e-03  9.97340190e-01]";0.07884929006652108
0.9615532300622305;0.09413552602621955;"[ 0.00000000e+00 -8.64531683e-01  1.93213331e+00  1.61612775e-01
  3.80632509e-02  4.16642892e+01  1.79763097e+02  9.23848389e+01
  2.15662181e+00  3.41914337e+02  1.70880235e+01  3.18460696e+00
  2.19054649e+00  6.41412648e-01  9.44678792e-01  3.08145501e+01
  1.54109905e-01  9.03483469e-03  6.87527512e-03  2.15127716e-01
  3.42238503e+03  1.34305710e-02  9.57597868e-01]";0.09145150544466263
12.403.820.991.923.000;0.20492291316287736;"[ 0.00000000e+00 -7.00973948e-01  3.66524300e-01  1.54559924e-01
  1.19258177e-01  1.11620250e+01  1.49416649e+02  4.62475584e+00
  3.62656584e-01  2.96930189e+02  2.86081439e+02  3.92521663e-01
  1.74884413e+00  3.51458861e-02  9.96385707e-01  6.73364314e+01
  9.79946328e-01  8.24091785e-06  7.15955318e-01  1.46708734e-01
  1.48797865e+03  1.20725992e-02  9.97651313e-01]";0.06259824973742589
10.924.148.692.924.300;0.09782501661760323;"[ 0.00000000e+00 -5.69967055e-01  1.16052052e+00  1.95103403e-01
  2.92505342e-01  9.79567349e+01  1.67378366e+02  6.02990110e+01
  1.46638087e+00  5.22573605e+01  3.17186291e+02  3.70408141e+00
  1.00843190e+00  1.47385296e+00  9.52632238e-01  5.62053734e+01
  4.49903709e-01  6.59752454e-05  6.26583159e-01  1.84119573e-01
  6.21448047e+03  1.02877476e-02  9.99610595e-01]";0.07861997533288045
0.9904659507421805;0.08781390394147648;"[ 0.00000000e+00 -5.35154945e-01  1.37622840e+00  2.74580369e-01
  2.58881656e-01  5.18140377e+01  1.76144605e+02  1.15408576e+02
  1.93405217e+00  1.87991618e+02  1.17738846e+02  1.79479420e+00
  1.29805638e+00  9.06646343e-01  9.09365699e-01  7.25248779e+01
  6.04765564e-01  1.41857894e-04  2.45267518e-01  1.94043598e-01
  8.04489161e+03  9.22553002e-03  9.99950726e-01]";0.08719823632062496
0.9460587590970753;0.09924270047665829;"[ 0.00000000e+00 -4.96865725e-01  1.44170388e+00  3.54075269e-01
  1.46660559e-01  6.82491975e+01  1.13141699e+02  1.23295575e+02
  2.71501326e+00  3.09637310e+02  1.08445284e+02  3.26523573e+00
  1.59652554e+00  1.79707118e+00  6.61460078e-01  9.15998674e+01
  4.72587644e-01  6.56134170e-05  8.06357877e-01  1.71150299e-01
  8.24829334e+03  9.53087958e-03  9.99244219e-01]";0.0915261914924631
0.9215890080754348;0.10916797828775882;"[ 0.00000000e+00 -5.18425284e-01  1.37320485e+00  1.15345562e-02
  6.87723548e-01  5.90781406e+01  1.78753824e+02  1.19770032e+02
  2.21730170e+00  3.15134325e+02  4.80532822e+01  1.54428181e-01
  1.55141749e-01  2.18498204e+00  9.33955248e-01  6.32032338e+01
  5.63296520e-01  1.86669885e-05  1.43966492e-01  1.40639115e-01
  5.41696626e+03  1.31968352e-02  9.98797874e-01]";0.0883464510630051
1.114.524.853.692.020;0.1069808330874451;"[ 0.00000000e+00 -6.29445475e-01  1.31310679e+00  1.98048312e-01
  2.87329776e-01  9.82774036e+01  1.67348337e+02  1.86802562e+02
  2.38278673e+00  2.44676586e+01  1.68192704e+02  2.76985127e+00
  6.91847130e-02  1.81333482e+00  9.51845442e-01  4.29736564e+01
  2.46793166e-01  1.73680182e-04  2.55181309e-01  1.89804484e-01
  3.02498141e+03  9.82460200e-03  9.92755433e-01]";0.07993896397512512
0.9692861223398122;0.09212732716839234;"[ 0.00000000e+00 -5.07628956e-01  1.35876202e+00  2.57062513e-01
  3.19388159e-01  3.53314101e+01  1.34524274e+02  9.36866616e+01
  1.82600272e+00  1.62059444e+02  1.07275102e+02  2.26161989e+00
  1.24531065e+00  2.48812760e+00  7.23036181e-01  6.86023873e+01
  6.27109898e-01  2.27743567e-04  2.62999091e-01  1.83836900e-01
  4.32424748e+03  9.48452412e-03  9.97574102e-01]";0.08981489613619242
