Obj_fct_values;snw_dth;snw_ast;snw_amt;snw_amf;snw_pmf;sl0_mse;sl1_mse;sl0_fcy;sl0_bt0;sl1_pwp;sl1_fcy;sl1_bt0;urr_dth;lrr_dth;urr_rsr;urr_tdh;urr_tdr;urr_cst;urr_dro;urr_ulc;lrr_tdh;lrr_cst;lrr_dro
1.163.632.065.622.130;0.0;0.5145478595162503;18.450.368.286.659.400;0.10329453057123972;0.06941636639442705;796.453.013.486.254;9.346.495.170.049.720;8.076.813.669.743.810;12.487.716.745.941.500;23.735.851.709.958.700;37.492.637.882.735.300;30.906.620.766.113.100;0.0;14.842.132.037.742.100;0.0;0.0;0.0;1.0;1.0;0.0;37.110.489.536.342.300;0.398470085915963;0.5414370549003652
11.623.695.162.713.200;0.0;0.5944435838370747;17.515.652.035.160.200;0.13051973099702052;0.01892667972871398;6.096.893.020.007.660;1.077.318.253.693.270;11.805.417.555.872.900;11.147.892.772.607.100;29.542.477.308.557.900;3.524.685.839.131.610;3.327.951.852.623.980;0.0;20.724.345.773.194.000;0.0;0.0;0.0;1.0;1.0;0.0;8.362.116.118.344.990;0.21811395593517768;0.3348931892551475
11.623.695.162.713.200;0.0;0.5944435838370747;17.515.652.035.160.200;0.13051973099702052;0.01892667972871398;6.096.893.020.007.660;1.077.318.253.693.270;11.805.417.555.872.900;11.147.892.772.607.100;29.542.477.308.557.900;3.524.685.839.131.610;3.327.951.852.623.980;0.0;20.724.345.773.194.000;0.0;0.0;0.0;1.0;1.0;0.0;8.362.116.118.344.990;0.21811395593517768;0.3348931892551475
11.119.963.383.736.400;0.0;0.4964844422210444;16.178.296.556.736.900;0.10895252683128087;0.019858761420708082;4.097.133.791.402.330;12.210.054.472.767.200;7.813.520.485.314.830;0.9183631468180317;24.783.272.424.584.400;3.678.845.116.641.070;31.487.144.111.451.900;0.0;0.5240409482159405;0.0;0.0;0.0;1.0;1.0;0.0;3.814.893.636.122.670;0.10213619556650178;0.7112183916552207
11.119.963.383.736.400;0.0;0.4964844422210444;16.178.296.556.736.900;0.10895252683128087;0.019858761420708082;4.097.133.791.402.330;12.210.054.472.767.200;7.813.520.485.314.830;0.9183631468180317;24.783.272.424.584.400;3.678.845.116.641.070;31.487.144.111.451.900;0.0;0.5240409482159405;0.0;0.0;0.0;1.0;1.0;0.0;3.814.893.636.122.670;0.10213619556650178;0.7112183916552207
11.119.963.383.736.400;0.0;0.4964844422210444;16.178.296.556.736.900;0.10895252683128087;0.019858761420708082;4.097.133.791.402.330;12.210.054.472.767.200;7.813.520.485.314.830;0.9183631468180317;24.783.272.424.584.400;3.678.845.116.641.070;31.487.144.111.451.900;0.0;0.5240409482159405;0.0;0.0;0.0;1.0;1.0;0.0;3.814.893.636.122.670;0.10213619556650178;0.7112183916552207
10.943.832.387.870.200;0.0;0.7812353947564707;14.669.598.243.368.700;0.10232917111342166;0.019329619206734483;4.391.966.254.045.610;9.427.830.240.555.700;8.968.617.031.648.580;0.8144269593290211;2.776.974.714.706.430;378.556.828.580.614;347.480.441.737.442;0.0;0.9644823234854498;0.0;0.0;0.0;1.0;1.0;0.0;5.310.744.163.906.030;0.2914665605170682;0.5023495763702004
10.943.832.387.870.200;0.0;0.7812353947564707;14.669.598.243.368.700;0.10232917111342166;0.019329619206734483;4.391.966.254.045.610;9.427.830.240.555.700;8.968.617.031.648.580;0.8144269593290211;2.776.974.714.706.430;378.556.828.580.614;347.480.441.737.442;0.0;0.9644823234854498;0.0;0.0;0.0;1.0;1.0;0.0;5.310.744.163.906.030;0.2914665605170682;0.5023495763702004
10.853.924.102.582.800;0.0;0.8730416683006257;1.386.501.941.442.560;0.10060294503725264;0.006277591368404889;28.065.198.693.467.400;9.563.547.161.103.790;5.881.565.706.426.390;0.9299759861072829;25.585.021.094.415.600;3.822.558.248.168.810;3.753.648.280.209.540;0.0;0.4787138697119624;0.0;0.0;0.0;1.0;1.0;0.0;4.874.187.579.235.780;0.23142359938495982;0.5529932410586519
10.697.471.111.420.400;0.0;0.8887361728721546;1.476.619.678.906.300;0.10653797971496604;0.005302309797464044;5.049.421.021.804.930;7.681.566.231.919.300;7.489.645.984.882.070;0.9579399664418244;2.968.670.675.142.990;3.915.000.941.870.530;39.696.481.230.639.000;0.0;0.3358880127223922;0.0;0.0;0.0;1.0;1.0;0.0;45.071.242.482.309.500;0.5552052597184872;0.4460838394986249
