Obj_fct_value;snw_dth;snw_ast;snw_amt;snw_amf;snw_pmf;sl0_mse;sl1_mse;sl0_fcy;sl0_bt0;sl1_pwp;sl1_fcy;sl1_bt0;urr_dth;lrr_dth;urr_rsr;urr_tdh;urr_tdr;urr_cst;urr_dro;urr_ulc;lrr_tdh;lrr_cst;lrr_dro;x
0.6477744851971429;0.0;-9999.0;-9999.0;0.0;0.0;5.268.133.043.027.820;14.517.882.688.484.500;6.841.221.772.875.490;16.687.524.587.575.200;8.971.721.985.127.810;9.445.254.000.483.460;13.603.373.033.658.200;10.076.381.366.162.000;31.056.801.558.395.500;0.9302779142468971;9.056.774.701.033.430;0.22000842145881527;0.0059123040375552716;0.19269276744422947;0.025660892529977275;4.232.074.024.341.990;0.079993235215024;0.8134517071904505;
0.6477744851971429;0.0;-9999.0;-9999.0;0.0;0.0;5.268.133.043.027.820;14.517.882.688.484.500;6.841.221.772.875.490;16.687.524.587.575.200;8.971.721.985.127.810;9.445.254.000.483.460;13.603.373.033.658.200;10.076.381.366.162.000;31.056.801.558.395.500;0.9302779142468971;9.056.774.701.033.430;0.22000842145881527;0.0059123040375552716;0.19269276744422947;0.025660892529977275;4.232.074.024.341.990;0.079993235215024;0.8134517071904505;
0.6477744851971429;0.0;-9999.0;-9999.0;0.0;0.0;5.268.133.043.027.820;14.517.882.688.484.500;6.841.221.772.875.490;16.687.524.587.575.200;8.971.721.985.127.810;9.445.254.000.483.460;13.603.373.033.658.200;10.076.381.366.162.000;31.056.801.558.395.500;0.9302779142468971;9.056.774.701.033.430;0.22000842145881527;0.0059123040375552716;0.19269276744422947;0.025660892529977275;4.232.074.024.341.990;0.079993235215024;0.8134517071904505;
0.6477744851971429;0.0;-9999.0;-9999.0;0.0;0.0;5.268.133.043.027.820;14.517.882.688.484.500;6.841.221.772.875.490;16.687.524.587.575.200;8.971.721.985.127.810;9.445.254.000.483.460;13.603.373.033.658.200;10.076.381.366.162.000;31.056.801.558.395.500;0.9302779142468971;9.056.774.701.033.430;0.22000842145881527;0.0059123040375552716;0.19269276744422947;0.025660892529977275;4.232.074.024.341.990;0.079993235215024;0.8134517071904505;
0.5981019956832868;0.0;-9999.0;-9999.0;0.0;0.0;21.523.022.373.579.400;10.784.963.844.428.900;5.002.696.003.895.500;2.427.773.147.137.510;2.327.146.089.670.510;20.747.005.562.773.900;12.022.259.175.519.900;1.215.324.211.548.250;14.344.276.262.148.300;0.3674475867569438;7.105.163.440.702.510;0.14923778623431722;0.01171176859581613;0.8262688123738964;0.0669530402755692;5.156.216.729.115.140;0.0259748591454233;0.8612708391677081;
0.5981019956832868;0.0;-9999.0;-9999.0;0.0;0.0;21.523.022.373.579.400;10.784.963.844.428.900;5.002.696.003.895.500;2.427.773.147.137.510;2.327.146.089.670.510;20.747.005.562.773.900;12.022.259.175.519.900;1.215.324.211.548.250;14.344.276.262.148.300;0.3674475867569438;7.105.163.440.702.510;0.14923778623431722;0.01171176859581613;0.8262688123738964;0.0669530402755692;5.156.216.729.115.140;0.0259748591454233;0.8612708391677081;
0.5981019956832868;0.0;-9999.0;-9999.0;0.0;0.0;21.523.022.373.579.400;10.784.963.844.428.900;5.002.696.003.895.500;2.427.773.147.137.510;2.327.146.089.670.510;20.747.005.562.773.900;12.022.259.175.519.900;1.215.324.211.548.250;14.344.276.262.148.300;0.3674475867569438;7.105.163.440.702.510;0.14923778623431722;0.01171176859581613;0.8262688123738964;0.0669530402755692;5.156.216.729.115.140;0.0259748591454233;0.8612708391677081;
0.5752377242785491;0.0;-9999.0;-9999.0;0.0;0.0;2.273.747.748.434.280;10.447.123.221.714.400;9.942.807.972.892.470;20.079.505.583.682.200;6.714.074.149.640.990;7.794.518.915.725.790;3.477.299.399.547.070;13.454.564.552.655.300;0.9110622491909448;0.19161613054484827;7.239.188.854.892.210;0.21998111227045236;0.07316597186150875;0.14143451876908125;0.7909494541332922;9.484.140.910.321.070;0.009790574655958895;0.9286002845459329;
0.5752377242785491;0.0;-9999.0;-9999.0;0.0;0.0;2.273.747.748.434.280;10.447.123.221.714.400;9.942.807.972.892.470;20.079.505.583.682.200;6.714.074.149.640.990;7.794.518.915.725.790;3.477.299.399.547.070;13.454.564.552.655.300;0.9110622491909448;0.19161613054484827;7.239.188.854.892.210;0.21998111227045236;0.07316597186150875;0.14143451876908125;0.7909494541332922;9.484.140.910.321.070;0.009790574655958895;0.9286002845459329;
0.5752377242785491;0.0;-9999.0;-9999.0;0.0;0.0;2.273.747.748.434.280;10.447.123.221.714.400;9.942.807.972.892.470;20.079.505.583.682.200;6.714.074.149.640.990;7.794.518.915.725.790;3.477.299.399.547.070;13.454.564.552.655.300;0.9110622491909448;0.19161613054484827;7.239.188.854.892.210;0.21998111227045236;0.07316597186150875;0.14143451876908125;0.7909494541332922;9.484.140.910.321.070;0.009790574655958895;0.9286002845459329;
