,new_ofv_old_params,new_opt_params,new_opt_ofv
0,0.09961554519356908,"[ 0.00000000e+00 -5.19191133e-01  1.58473195e+00  3.49530789e-01
  1.96135175e-01  8.73110623e+01  6.88325793e+01  1.55541621e+02
  2.58630723e+00  1.96639831e+02  2.34346055e+00  1.00521977e+00
  6.71362618e-01  2.94744032e+00  7.53318426e-01  9.88084219e+01
  3.18441156e-01  2.50924262e-04  4.10649056e-01  1.79577886e-01
  3.12506969e+03  8.80452415e-03  9.99448950e-01]",0.0986269547198183
1,0.10262020845243713,"[ 0.00000000e+00 -5.71920374e-01  1.82614841e+00  1.56254122e-01
  2.09679351e-02  3.85378312e+01  1.35890230e+02  9.51968076e+01
  1.81350493e+00  3.25422373e+02  6.08116453e+01  2.43767939e+00
  1.64161731e+00  5.49793252e-01  9.19814067e-01  2.78139460e+01
  4.84346563e-01  1.40334493e-04  1.56549339e-01  2.04991500e-01
  3.27366806e+03  1.36846070e-02  8.88850151e-01]",0.0928939526403374
2,0.10309839732469983,"[ 0.00000000e+00 -5.11483853e-01  1.51233981e+00  2.73283299e-01
  3.36389873e-01  6.06448906e+01  8.09915391e+01  1.27519521e+02
  2.07101100e+00  1.65575752e+02  4.51044266e+01  2.78788955e+00
  2.59466344e+00  1.40123456e-01  8.30634823e-01  8.89658534e+01
  8.28648493e-01  1.72712572e-04  4.02014916e-01  2.24208826e-01
  5.15388635e+03  8.59429944e-03  9.99066980e-01]",0.10147890592144071
3,0.09876623068121193,"[ 0.00000000e+00 -5.89682032e-01  1.46669236e+00  1.41386523e-01
  1.89483899e-03  5.13623399e+01  2.68793476e+01  1.11583265e+02
  1.99798430e+00  2.08613634e+02  4.06771072e+00  1.58163337e+00
  1.64942352e+00  1.08831234e+00  9.58122210e-01  7.64965745e+01
  2.39581563e-01  5.34303346e-03  3.35649760e-02  2.00464823e-01
  2.53542277e+03  1.32625711e-02  9.32178589e-01]",0.09165473771229082
4,0.10205228735240202,"[ 0.00000000e+00 -5.34556721e-01  1.05238950e+00  1.99273752e-01
  2.68435923e-01  1.62728958e+01  4.25006924e+01  5.51937414e+00
  4.22009723e-01  3.48475787e+02  1.21508563e+02  1.26096034e+00
  5.83597746e-01  1.77853742e+00  9.68860063e-01  2.13918849e+01
  6.19795651e-01  3.49991053e-04  8.51534873e-01  1.93137966e-01
  4.65035840e+03  9.18033445e-03  9.99317773e-01]",0.09548138472679324
5,0.09988787301291358,"[ 0.00000000e+00 -5.25211036e-01  1.39682985e+00  3.50190442e-01
  2.74112222e-02  7.56126827e+01  8.24032028e+01  1.43739376e+02
  2.43161201e+00  3.73781186e+02  1.62703734e+01  9.19895607e-01
  2.09954997e+00  1.99314467e-01  8.24499476e-01  7.22682830e+01
  6.23202422e-01  2.98626977e-04  7.25322999e-01  1.84674041e-01
  3.06468153e+03  9.34307489e-03  9.96584351e-01]",0.0992145081828869
6,0.09678497648725992,"[ 0.00000000e+00 -5.33443783e-01  1.47158167e+00  2.65495055e-01
  2.85414279e-01  6.17544512e+01  1.40561793e+02  1.28449801e+02
  2.26530988e+00  6.55105422e+00  4.06304690e+01  1.97851699e+00
  1.56225611e+00  1.77911019e+00  9.68156988e-01  9.21488233e+01
  4.21451338e-01  2.65524005e-04  2.08581685e-01  1.84995124e-01
  7.04944160e+03  9.10275580e-03  9.99698059e-01]",0.09582111624557788
7,0.10250319983006528,"[ 0.00000000e+00 -5.66770789e-01  1.95412576e+00  1.60643868e-01
  4.98487508e-02  5.34447139e+01  1.37744520e+02  1.06133602e+02
  2.43559505e+00  2.21084972e+02  6.16348606e+01  2.22962179e+00
  2.00553678e+00  1.03720420e+00  8.59344838e-01  5.54383395e+01
  3.96901219e-01  2.58229920e-03  2.89072481e-02  1.96550221e-01
  7.86220091e+03  1.32636115e-02  8.84099956e-01]",0.0913548497673804
8,0.10139071786558795,"[ 0.00000000e+00 -5.33660374e-01  1.40039100e+00  3.18789598e-01
  1.14461374e-01  9.65267182e+01  1.78518419e+02  1.65098235e+02
  2.70897638e+00  2.56151979e+02  2.71681175e+01  3.98309544e+00
  1.12597057e+00  1.37747484e+00  9.93296818e-01  5.32660257e+01
  1.58658550e-01  6.86173938e-05  6.64553325e-01  1.71992361e-01
  4.65792327e+03  9.25192240e-03  9.99328446e-01]",0.09947969603327633
9,0.09975681016188032,"[ 0.00000000e+00 -5.19483596e-01  1.36759756e+00  2.67154247e-01
  2.10305512e-01  7.15878831e+01  1.84995772e+02  1.40694176e+02
  2.53023548e+00  2.94112253e+02  2.72228968e+01  3.26902963e+00
  1.20487253e+00  1.10786592e+00  8.60540020e-01  6.86768032e+01
  5.48720434e-01  3.90459206e-04  1.04222532e-01  2.10544129e-01
  1.87287558e+03  9.20045935e-03  9.98889291e-01]",0.09885349161019819
